S/N,Order_Date,TransactionID,CustomerID,ProductID,Quantity_Supplied,Discount(%)
1,1/2/2019,DCLPS/555,DCP/pop/5585,DCCP/Class J /1475,296,7
2,1/2/2019,DCLPS/556,DCP/pop/5569,DCCP/Class A/1476,83,3
3,1/2/2019,DCLPS/557,DCP/pop/5657,DCCP/Class A/1477,288,6
4,1/2/2019,DCLPS/558,DCP/pop/5587,DCCP/Class WT/1478,239,4
5,1/2/2019,DCLPS/559,DCP/pop/5512,DCCP/Class A/1479,32,1
6,1/2/2019,DCLPS/560,DCP/pop/5576,DCCP/Class A/1476,93,5
7,1/2/2019,DCLPS/561,DCP/pop/5531,DCCP/Class A/1480,278,9
8,1/4/2019,DCLPS/562,DCP/pop/5535,DCCP/Class J /1481,297,6
9,1/4/2019,DCLPS/563,DCP/pop/5514,DCCP/Class A/1480,58,2
10,1/7/2019,DCLPS/564,DCP/pop/5508,DCCP/Class J /1481,215,5
11,1/7/2019,DCLPS/565,DCP/pop/5504,DCCP/Class A/1480,252,4
12,1/7/2019,DCLPS/566,DCP/pop/5623,DCCP/Class J /1482,289,0
13,1/7/2019,DCLPS/567,DCP/pop/5603,DCCP/Class J /1475,191,4
14,1/7/2019,DCLPS/568,DCP/pop/5603,DCCP/Class J /1483,63,5
15,1/7/2019,DCLPS/569,DCP/pop/5481,DCCP/Class A/1484,260,1
16,1/7/2019,DCLPS/570,DCP/pop/5637,DCCP/Class A/1485,75,10
17,1/9/2019,DCLPS/571,DCP/pop/5550,DCCP/Class M/1486,114,2
18,1/10/2019,DCLPS/572,DCP/pop/5520,DCCP/Class A/1487,145,2
19,1/10/2019,DCLPS/573,DCP/pop/5552,DCCP/Class J /1488,12,3
20,1/10/2019,DCLPS/574,DCP/pop/5562,DCCP/Class A/1476,69,7
21,1/11/2019,DCLPS/575,DCP/pop/5618,DCCP/Class A/1479,118,10
22,1/11/2019,DCLPS/576,DCP/pop/5658,DCCP/Class A/1476,112,7
23,1/11/2019,DCLPS/577,DCP/pop/5604,DCCP/Class J /1483,167,4
24,1/11/2019,DCLPS/578,DCP/pop/5481,DCCP/Class A/1479,126,1
25,1/11/2019,DCLPS/579,DCP/pop/5580,DCCP/Class A/1484,268,8
26,1/11/2019,DCLPS/580,DCP/pop/5505,DCCP/Class WT/1478,104,8
27,1/11/2019,DCLPS/581,DCP/pop/5570,DCCP/Class J /1482,59,9
28,1/11/2019,DCLPS/582,DCP/pop/5641,DCCP/Class J /1483,74,1
29,1/11/2019,DCLPS/583,DCP/pop/5567,DCCP/Class J /1475,272,4
30,1/11/2019,DCLPS/584,DCP/pop/5508,DCCP/Class A/1487,103,8
31,1/11/2019,DCLPS/585,DCP/pop/5519,DCCP/Class J /1488,207,10
32,1/11/2019,DCLPS/586,DCP/pop/5653,DCCP/Class A/1476,53,9
33,1/11/2019,DCLPS/587,DCP/pop/5602,DCCP/Class A/1479,99,0
34,1/11/2019,DCLPS/588,DCP/pop/5589,DCCP/Class A/1487,216,8
35,1/11/2019,DCLPS/589,DCP/pop/5536,DCCP/Class WT/1478,67,5
36,1/11/2019,DCLPS/590,DCP/pop/5563,DCCP/Class A/1476,107,5
37,1/11/2019,DCLPS/591,DCP/pop/5498,DCCP/Class J /1483,110,10
38,1/14/2019,DCLPS/592,DCP/pop/5631,DCCP/Class J /1488,6,4
39,1/14/2019,DCLPS/593,DCP/pop/5491,DCCP/Class A/1485,225,9
40,1/14/2019,DCLPS/594,DCP/pop/5542,DCCP/Class J /1488,162,3
41,1/14/2019,DCLPS/595,DCP/pop/5656,DCCP/Class J /1475,149,7
